14:44:13  [main] 	Initializing Control Panel
14:44:13  [main] 	Windows Version:  Enterprise  64-bit
14:44:13  [main] 	XAMPP Version: 7.4.5
14:44:13  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
14:44:13  [main] 	You are not running with administrator rights! This will work for
14:44:13  [main] 	most application stuff but whenever you do something with services
14:44:13  [main] 	there will be a security dialogue or things will break! So think 
14:44:13  [main] 	about running this application with administrator rights!
14:44:13  [main] 	XAMPP Installation Directory: "c:\xampp\pdsw2020_rodo\"
14:44:13  [main] 	Checking for prerequisites
14:44:13  [main] 	All prerequisites found
14:44:13  [main] 	Initializing Modules
14:44:13  [main] 	The Mercury module is disabled
14:44:13  [main] 	Starting Check-Timer
14:44:13  [main] 	Control Panel Ready
14:44:14  [Apache] 	Attempting to start Apache app...
14:44:14  [mysql] 	Attempting to start MySQL app...
14:44:14  [Apache] 	Status change detected: running
14:44:14  [mysql] 	Status change detected: running
14:57:18  [Apache] 	Attempting to stop Apache (PID: 12748)
14:57:18  [Apache] 	Attempting to stop Apache (PID: 900)
14:57:18  [Apache] 	Status change detected: stopped
14:57:18  [mysql] 	Attempting to stop MySQL app...
14:57:19  [mysql] 	Status change detected: stopped
22:33:27  [main] 	Deinitializing Modules
22:33:27  [main] 	Deinitializing Control Panel

